doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cellphones-data-backup-policy,data\laptop\cellphones-data-backup-policy.md,Quy định sao lưu dữ liệu khi sử dụng dịch vụ,https://cellphones.com.vn/quy-dinh-ve-viec-sao-luu-du-lieu,2026-09-20,not-stated,public-source
cellphones-invoice-policy,data\laptop\cellphones-invoice-policy.md,Quy định hóa đơn khi mua hàng CellphoneS,https://cellphones.com.vn/quy-dinh-ve-hoa-don-khi-mua-hang-cellphones,2026-09-20,not-stated,public-source
cellphones-refund-policy,data\laptop\cellphones-refund-policy.md,Chính sách đổi trả CellphoneS,https://cellphones.com.vn/tos?part=refund-policy,2026-09-20,not-stated,public-source
cellphones-shipping-policy,data\laptop\cellphones-shipping-policy.md,Chính sách giao hàng CellphoneS,https://cellphones.com.vn/chinh-sach-giao-hang,2026-09-20,not-stated,public-source
cellphones-warranty-policy,data\laptop\cellphones-warranty-policy.md,Chính sách bảo hành CellphoneS,https://cellphones.com.vn/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source
macbook-air-m5-512gb,data\laptop\macbook-air-m5-512gb.md,MacBook Air 13 M5 512GB,https://cellphones.com.vn/macbook-air-13-m5-10-cpu-8-gpu-16gb-512gb.html,2026-09-20,not-stated,public-source
macbook-air-m5-70w,data\laptop\macbook-air-m5-70w.md,MacBook Air 13 M5 Sac 70W,https://cellphones.com.vn/macbook-air-13-inch-m5-10-cpu-8-gpu-16gb-512gb-2026-sac-70w.html,2026-09-20,not-stated,public-source
macbook-neo-256gb,data\laptop\macbook-neo-256gb.md,MacBook Neo 13 A18 Pro 256GB,https://cellphones.com.vn/macbook-neo-13-a18-pro-6-cpu-5-gpu-8gb-256gb.html,2026-09-20,not-stated,public-source
macbook-neo-512gb,data\laptop\macbook-neo-512gb.md,MacBook Neo 13 A18 Pro 512GB,https://cellphones.com.vn/macbook-neo-13-a18-pro-6-cpu-5-gpu-8gb-512gb.html,2026-09-20,not-stated,public-source
